"Freq [GHz]","dB(S(1,1)) []"
1.5,-4.38824672147817
1.51,-4.91050639606446
1.52,-5.51729414542487
1.53,-6.22507127574921
1.54,-7.05434646221476
1.55,-8.03133550510455
1.56,-9.19080825089187
1.57,-10.5812539268686
1.58,-12.2748398003593
1.59,-14.3880436962326
1.6,-17.1279907386156
1.61,-20.8981724935889
1.62,-26.2726729235052
1.63,-28.3782736905201
1.64,-23.3561079013895
1.65,-19.6021962531107
1.66,-17.0832042526863
1.67,-15.284884026673
1.68,-13.9427697882336
1.69,-12.913389129876
1.7,-12.1114202039881
1.71,-11.4822180454545
1.72,-10.9887580637702
1.73,-10.604864234612
1.74,-10.3114243171945
1.75,-10.0941388595329
1.76,-9.94211153134364
1.77,-9.84692769570734
1.78,-9.80203039681651
1.79,-9.8022853184685
1.8,-9.84367034799156
1.81,-9.92305006582243
1.82,-10.0380099033101
1.83,-10.1867334553481
1.84,-10.3679119215039
1.85,-10.580678241313
1.86,-10.8245608901087
1.87,-11.0994540246236
1.88,-11.4056019260655
1.89,-11.7435967303623
1.9,-12.1143893138218
1.91,-12.5193141074726
1.92,-12.9601295654939
1.93,-13.4390771748199
1.94,-13.9589633465137
1.95,-14.5232704886936
1.96,-15.1363061549154
1.97,-15.803402675486
1.98,-16.5311841851416
1.99,-17.3279230861863
2,-18.2040116433342
2.01,-19.1725688232803
2.02,-20.2501622027225
2.03,-21.4574672165929
2.04,-22.819140584508
2.05,-24.3603472709824
2.06,-26.0912814091134
2.07,-27.9526679422242
2.08,-29.665046365807
2.09,-30.557247622313
2.1,-30.0661624155805
2.11,-28.6043920362291
2.12,-26.896152802314
2.13,-25.2883127197701
2.14,-23.8662260726157
2.15,-22.6264694634855
2.16,-21.5446421577566
2.17,-20.59528576531
2.18,-19.7566497989766
2.19,-19.0111572183901
2.2,-18.3448070938895
2.21,-17.7464391349414
2.22,-17.2070972191292
2.23,-16.7195285595326
2.24,-16.2778019266024
2.25,-15.877019016365
2.26,-15.5130958142535
2.27,-15.1825958694451
2.28,-14.8826020237734
2.29,-14.6106167670339
2.3,-14.3644840667664
2.31,-14.1423274585566
2.32,-13.9425005762871
2.33,-13.7635472949283
2.34,-13.6041693844968
2.35,-13.4632000911055
2.36,-13.3395824431796
2.37,-13.2323513613974
2.38,-13.140618860393
2.39,-13.0635617774591
2.4,-13.0004115920836
2.41,-12.9504459765987
2.42,-12.9129817905842
2.43,-12.8873692863555
2.44,-12.8729873258816
2.45,-12.8692394490336
2.46,-12.8755506522959
2.47,-12.891364762501
2.48,-12.9161423047031
2.49,-12.9493587781453
2.5,-12.9905032664053
2.51,-13.0390773210276
2.52,-13.0945940618602
2.53,-13.1565774517237
2.54,-13.2245617066057
2.55,-13.2980908088404
2.56,-13.3767180999286
2.57,-13.4600059305652
2.58,-13.5475253517333
2.59,-13.6388558352181
2.6,-13.7335850137849
2.61,-13.8313084330902
2.62,-13.9316293113436
2.63,-14.0341583036037
2.64,-14.1385132657381
2.65,-14.2443190190712
2.66,-14.3512071120465
2.67,-14.4588155760053
2.68,-14.5667886759712
2.69,-14.6747766492954
2.7,-14.7824354326808
2.71,-14.889426371217
2.72,-14.9954159062156
2.73,-15.1000752388583
2.74,-15.2030799641626
2.75,-15.3041096765656
2.76,-15.4028475449795
2.77,-15.498979863688
2.78,-15.5921955861222
2.79,-15.6821858612524
2.8,-15.7686435911118
2.81,-15.8512630492686
2.82,-15.9297396040455
2.83,-16.0037696090791
2.84,-16.0730505326852
2.85,-16.1372814213125
2.86,-16.1961637977455
2.87,-16.2494031087963
2.88,-16.2967108444698
2.89,-16.3378074385937
2.9,-16.3724260549627
2.91,-16.4003173188559
2.92,-16.4212550117806
2.93,-16.4350426686812
2.94,-16.4415209283158
2.95,-16.4405753796065
2.96,-16.4321445339153
2.97,-16.4162274471553
2.98,-16.3928904251555
2.99,-16.3622722086453
3,-16.3245870445408
3.01,-16.2801251251852
3.02,-16.2292500380685
3.03,-16.1723930774182
3.04,-16.1100445212079
3.05,-16.0427422503341
3.06,-15.971058317983
3.07,-15.8955842606259
3.08,-15.8169160471331
3.09,-15.7356395530972
3.1,-15.6523173694246
3.11,-15.5674775875409
3.12,-15.4816049905841
3.13,-15.3951348607153
3.14,-15.308449393073
3.15,-15.221876532359
3.16,-15.135690909639
3.17,-15.0501164871114
3.18,-14.9653304796086
3.19,-14.8814681382399
3.2,-14.7986280157401
3.21,-14.7168773984614
3.22,-14.6362576478109
3.23,-14.5567892677041
3.24,-14.4784765689618
3.25,-14.4013118569162
3.26,-14.3252791099411
3.27,-14.2503571437823
3.28,-14.1765222856688
3.29,-14.1037505864453
3.3,-14.0320196206891
3.31,-13.9613099106593
3.32,-13.8916060278053
3.33,-13.8228974079721
3.34,-13.7551789248104
3.35,-13.688451254852
3.36,-13.6227210662952
3.37,-13.5580010598849
3.38,-13.4943098866896
3.39,-13.431671965356
3.4,-13.3701172172934
3.41,-13.3096807397718
3.42,-13.2504024316164
3.43,-13.1923265878603
3.44,-13.1355014800816
3.45,-13.079978933181
3.46,-13.0258139141298
3.47,-12.9730641456273
3.48,-12.9217897575802
3.49,-12.8720529855318
3.5,-12.8239179298868
3.51,-12.7774503844202
3.52,-12.7327177424194
3.53,-12.6897889893138
3.54,-12.6487347883987
3.55,-12.6096276640047
3.56,-12.5725422886081
3.57,-12.5375558753622
3.58,-12.5047486809528
3.59,-12.4742046196931
3.6,-12.4460119915241
3.61,-12.4202643266218
3.62,-12.3970613487612
3.63,-12.3765100614961
3.64,-12.3587259628219
3.65,-12.3438343934351
3.66,-12.3319720289765
3.67,-12.3232885278988
3.68,-12.3179483472362
3.69,-12.3161327475353
3.7,-12.3180420037754
3.71,-12.3238978512712
3.72,-12.3339461927191
3.73,-12.3484601003597
3.74,-12.3677431490092
3.75,-12.3921331194177
3.76,-12.4220061138087
3.77,-12.4577811238739
3.78,-12.4999250927239
3.79,-12.5489585003666
3.8,-12.6054614953947
3.81,-12.6700805657539
3.82,-12.7435357097968
3.83,-12.8266280056049
3.84,-12.9202473859145
3.85,-13.0253802873369
3.86,-13.1431166337396
3.87,-13.274655301977
3.88,-13.4213067566673
3.89,-13.584490862719
3.9,-13.7657268799731
3.91,-13.9666111846886
3.92,-14.1887761438169
3.93,-14.4338205201134
3.94,-14.7031975196056
3.95,-14.9980408043627
3.96,-15.3189014446217
3.97,-15.6653606966088
3.98,-16.0354775587083
3.99,-16.4250339476428
4,-16.8265705844297
4.01,-17.228293065219
4.02,-17.6131093302126
4.03,-17.9583515441612
4.04,-18.2370333552656
4.05,-18.4214514360908
4.06,-18.4890554785531
4.07,-18.4287755221356
4.08,-18.2446929759458
4.09,-17.9548593619091
4.1,-17.5859727714899
4.11,-17.1668614877007
4.12,-16.7234896651517
4.13,-16.2764597513344
4.14,-15.8405597054006
4.15,-15.4254492758995
4.16,-15.0367498694261
4.17,-14.6771235727577
4.18,-14.3471723082118
4.19,-14.0461230914555
4.2,-13.7723229129294
4.21,-13.5235832898895
4.22,-13.2974134466911
4.23,-13.0911742017967
4.24,-12.902177107226
4.25,-12.7277469587766
4.26,-12.5652607977226
4.27,-12.4121728343455
4.28,-12.2660320012962
4.29,-12.1244968378314
4.3,-11.9853508461681
4.31,-11.8465202225591
4.32,-11.7060947796686
4.33,-11.5623519391469
4.34,-11.4137828326637
4.35,-11.2591188514173
4.36,-11.0973564933412
4.37,-10.927778101954
4.38,-10.7499661680006
4.39,-10.5638092324957
4.4,-10.3694980905559
4.41,-10.1675118305176
4.42,-9.95859414857778
4.43,-9.7437212006944
4.44,-9.52406289953044
4.45,-9.30093992961154
4.46,-9.07577885900608
4.47,-8.85006756910443
4.48,-8.62531288323058
4.49,-8.4030018477104
4.5,-8.18456764612932
